strain,id,flavors,positive,medical,Type,Rating,Flavor
Magic Jordan,1299,"Earthy, Lemon, Minty","Relaxed, Euphoric, Creative, Focused","Insomnia, Pain, Stress, Lack of Appetite, Headache, Inflammation",hybrid,4.0,"Minty,Orange,Lemon"
Magnum,1300,"Earthy, Spicy/Herbal, Flowery","Relaxed, Happy, Creative, Energetic, Uplifted","Depression, Insomnia, Pain, Stress, Eye Pressure",hybrid,3.9,"Earthy,Citrus,Lemon"
Mai Tai Cookies,1302,"Orange, Tree Fruit, Citrus","Relaxed, Euphoric, Happy, Uplifted, Focused","Pain, Nausea, Fatigue, Headaches, Eye Pressure",hybrid,4.9,"Orange,Tree,Fruit,Spicy/Herbal"
Majestic 12,1303,"Earthy, Sweet, Berry","Relaxed, Euphoric, Happy, Tingly","Depression, Pain, Stress, Headaches",hybrid,4.8,"Earthy,Sweet,Berry"
Mako Haze,1304,"Pine, Sage, Lemon","Hungry, Euphoric, Happy, Uplifted, Focused","Depression, Pain, Stress, Lack of Appetite, Nausea",sativa,4.2,"Pine,Citrus,Earthy"
Malakoff,1305,"Sweet, Earthy, Tobacco","Happy, Creative, Energetic, Talkative, Focused","Depression, Pain, Stress, Fatigue, Eye Pressure",sativa,3.7,"Sweet,Earthy,Woody"
Malawi,1306,"Earthy, Flowery, Sweet","Euphoric, Happy, Energetic, Uplifted, Focused","Depression, Stress, Nausea, Fatigue, Headaches",sativa,4.4,"Earthy,Flowery,Grape"
Mammoth,1307,"Honey, Earthy, Apricot","Relaxed, Happy, Creative, Uplifted, Focused","Pain, Stress, Fatigue, Inflammation, Muscle Spasms",hybrid,4.5,"Honey,Earthy,Woody"
Mango,1309,"Mango, Sweet, Lemon","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Insomnia, Pain, Stress, Nausea, Headache",indica,4.1,"Mango,Earthy,Sweet"
Mango Dream,1310,"Tropical, Sweet, Citrus","Relaxed, Hungry, Happy, Energetic, Focused","Depression, Pain, Stress, Headache, Fatigue, Headaches",sativa,3.9,"Mango,Tropical,Earthy"
Mango Haze,1311,"Mango, Tropical, Sweet","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue",sativa,4.6,"Mango,Sweet,Tropical"
Mango Kush,1312,"Mango, Tropical, Sweet","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Pain, Stress, Lack of Appetite, Headache, Headaches",hybrid,4.3,"Mango,Sweet,Citrus"
Mango Tango,1313,"Mango, Tropical, Tree Fruit","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.6,"Mango,Tropical,Citrus"
Mangolicious,1314,"Mango, Pineapple, Sweet","Euphoric, Happy, Creative, Energetic, Giggly","Depression, Pain, Cramps, Fatigue, Muscle Spasms",indica,5.0,"Sweet,Tropical,Pineapple"
Manitoba Poison,1315,"Spicy/Herbal, Earthy, Cheese","Relaxed, Happy, Sleepy, Focused","Depression, Insomnia, Pain, Stress, Muscle Spasms",hybrid,4.5,"Spicy/Herbal,Earthy,Cheese"
Maple Leaf Indica,1316,"Sweet, Butter, Vanilla","Relaxed, Euphoric, Happy, Tingly, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Fatigue",indica,4.3,"Sweet,Butter,Woody"
Marcosus Marshmellow,1318,"Minty, Berry, Grape","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Insomnia, Stress",hybrid,3.9,"Minty,Sweet,Berry"
Marionberry Kush,1320,"Berry, Sweet, Pungent","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",hybrid,4.5,"Berry,Earthy,Sweet"
Martian Candy,1323,"Sweet, Woody, Earthy","Relaxed, Happy, Talkative, Uplifted, Giggly","Depression, Insomnia, Stress, Nausea, Fatigue",hybrid,4.7,"Sweet,Woody,Earthy"
Martian Mean Green,1324,"Pungent, Flowery, Skunk","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms",hybrid,4.2,"Sweet,Citrus,Grapefruit"
Master Bubba,1325,"Earthy, Sweet, Tropical","Relaxed, Hungry, Euphoric, Happy, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Inflammation",indica,4.3,"Earthy,Pungent,Skunk"
Master Jedi,1326,"Pungent, Pine, Earthy","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Fatigue",indica,4.4,"Skunk,Spicy/Herbal,Diesel"
Master Kush,1327,"Earthy, Pungent, Spicy/Herbal","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Headaches",indica,4.3,"Earthy,Pungent,Woody"
Master Skunk,1329,"Skunk, Earthy, Pungent","Relaxed, Euphoric, Uplifted, Sleepy, Giggly","Depression, Insomnia, Pain, Stress, Headaches",hybrid,4.6,"Skunk,Lemon,Honey"
Master Yoda,1330,"Earthy, Sweet, Pungent","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Muscle Spasms",hybrid,4.5,"Pungent,Sweet,Earthy"
Matanuska Thunder Fuck,1331,"Earthy, Pungent, Skunk","Relaxed, Euphoric, Happy, Creative, Focused","Depression, Pain, Stress, Lack of Appetite, Fatigue",sativa,4.3,"Earthy,Woody,Pungent"
Mataro Blue,1332,"Berry, Sweet, Blueberry","Relaxed, Hungry, Euphoric, Happy, Tingly","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.6,"Berry,Sweet,Earthy"
Maui,1335,"Sweet, Citrus, Tropical","Euphoric, Happy, Creative, Talkative, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue",sativa,4.2,"Citrus,Sweet,Tropical"
Maui Berry,1336,"Berry, Citrus, Pungent","Relaxed, Hungry, Euphoric, Happy, Creative","Depression, Insomnia, Pain, Stress, Nausea",hybrid,4.0,"Berry,Citrus,Pungent"
Maui Bubble Gift,1337,"Sweet, Citrus, Pungent","Relaxed, Euphoric, Happy, Uplifted, Tingly","Depression, Insomnia, Pain, Stress, Inflammation",hybrid,4.6,"Sweet,Citrus,Pungent"
Maui Citrus Punch,1338,"Citrus, Tropical, Skunk","Relaxed, Euphoric, Creative, Energetic, Uplifted","Pain, Stress, Inflammation, Muscle Spasms",sativa,4.5,"Citrus,Tropical,Skunk"
Maui Haole,1339,"Diesel, Pungent, Tropical","Relaxed, Euphoric, Creative, Sleepy, Aroused","Depression, Pain, Stress, Seizures, Muscle Spasms",hybrid,4.6,"Pungent,Tropical,Earthy"
Maui Mango Diesel,1340,"Mango, Diesel, Tropical","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.3,"Mango,Sweet,Diesel"
